0e1b000b	PR_HASATTACH PidTagHasAttachments
0e1c0003	PR_BODY_CRC PidTagBodyCrc
0e1d001f+A	PR_NORMALIZED_SUBJECT PidTagNormalizedSubject
0e1f000b	PR_RTF_IN_SYNC PidTagRtfInSync
0e200003	PR_ATTACH_SIZE PidTagAttachSize .AttachmentSize32
0e200014	.AttachmentSize64
0e210003	PR_ATTACH_NUM PidTagAttachNumber .AttachmentNumber
0e22000b	PR_PREPROCESS PidTagPreprocess
0e230003	PR_INTERNET_ARTICLE_NUMBER PidTagInternetArticleNumber .FolderInternetId .ArticleId .HighestFolderInternetId
0e24001f	PR_NEWSGROUP_NAME
0e250102	PR_ORIGINATING_MTA_CERTIFICATE PidTagOriginatingMtaCertificate
0e260102	PR_PROOF_OF_SUBMISSION PidTagProofOfSubmission
0e270102	PR_NT_SECURITY_DESCRIPTOR PidTagSecurityDescriptor .NTSecurityDescriptor
0e28001f	PR_PRIMARY_SEND_ACCT PR_PRIMARY_SEND_ACCOUNT PidTagPrimarySendAcct PidTagPrimarySendAccount
0e29001f	PR_NEXT_SEND_ACCT PidTagNextSendAcct .NextSendAccount
0e2a000b	PR_EXCHANGE_REMOTE_HEADER PidTagExchangeRemoteHeader
0e2b0003	PR_TODO_ITEM_FLAGS PidTagToDoItemFlags
0e2c0102	PR_SWAPPED_TODO_STORE PidTagSwappedToDoStore
0e2d0102	PR_SWAPPED_TODO_DATA PidTagSwappedToDoData
0e2e0003	PR_MSG_HIDDEN .MessageIsHidden
0e2f0003	PR_POPIMAP_UID .IMAPId
0e300003	PR_REPL_ITEMID PidTagReplItemId
0e300102	PR_REPL_ITEMID_olspy
0e310102	PR_REPL_FOLDERID
0e320002	.OriginalSourceServerVersion
0e330014	PR_REPL_CHANGENUM PidTagReplChangenum
0e33001f	.OlcPopId
0e340102	PR_REPL_VERSIONHISTORY PidTagReplVersionhistory
0e350102	PR_REPL_VERSIONSKELETON
0e360102	PR_REPL_SERVERID
0e370102	PR_REPL_VERSION
0e380003	PR_REPL_FLAGS PidTagReplFlags
0e390102	PR_REPL_SUBITEMID
0e3a000d	.MessageDeepAttachments
0e3b000d	PR_REPL_TOMBSTONETABLE
0e3c0102	PR_REPL_COPIEDFROM_VERSIONHISTORY PidTagReplCopiedfromVersionhistory
0e3d0102	PR_REPL_COPIEDFROM_ITEMID PidTagReplCopiedfromItemid
0e3e0102	PR_REPL_DESTINATION_FOLDERID
0e3f0102	.AclTableAndSecurityDescriptor
0e400102	.SenderGuid
0e410102	.SentRepresentingGuid
0e420102	.OriginalSenderGuid
0e430102	.OriginalSentRepresentingGuid
0e440102	.ReadReceiptGuid
0e450102	.ReportGuid
0e460102	.OriginatorGuid
0e470102	.ReportDestinationGuid
0e480102	.OriginalAuthorGuid
0e490102	.ReceivedByGuid
0e4a0102	.ReceivedRepresentingGuid
0e4b0102	.CreatorGuid
0e4c0102	.LastModifierGuid
0e4d0102	PR_SENDER_SID .SenderSID
0e4e0102	PR_SENT_REPRESENTING_SID .SentRepresentingSID
0e4f0102	PR_ORIGINAL_SENDER_SID .OriginalSenderSid
0e500102	PR_ORIGINAL_SENT_REPRESENTING_SID .OriginalSentRepresentingSid
0e510102	PR_READ_RECEIPT_SID .ReadReceiptSid
0e520102	PR_REPORT_SID .ReportSid
0e530102	PR_ORIGINATOR_SID .OriginatorSid
0e540102	PR_REPORT_DESTINATION_SID .ReportDestinationSid
0e550102	PR_ORIGINAL_AUTHOR_SID .OriginalAuthorSid
0e560102	PR_RECEIVED_BY_SID .ReceivedBySid
0e570102	PR_RCVD_REPRESENTING_SID .ReceivedRepresentingSid
0e580102	PR_CREATOR_SID .CreatorSID
0e590102	PR_LAST_MODIFIER_SID .LastModifierSid
0e5a0102	.RecipientCAI
0e5b0102	.ConversationCreatorSID
0e5b0102	PR_CATALOG .Catalog
0e5c000b	PR_CI_SEARCH_ENABLED .IsContentIndexingEnabled
0e5d000b	.IsUserKeyDecryptPossible
0e5d000b	PR_CI_NOTIFICATION_ENABLED .CINotificationEnabled
0e5e0003	PR_MAX_INDICES .MaxIndices
0e5f0014	PR_SOURCE_FID .SourceFid
0e600102	.PFContactsGuid
0e610003	.UrlCompNamePostfix
0e62000b	PidTagUrlCompNameSet
0e630003	.SubfolderCount
0e640003	.DeletedSubfolderCount
0e680003	PR_MAX_CACHED_VIEWS .MaxCachedViews
0e69000b	PR_READ PidTagRead
0e6a001f	PR_NT_SECURITY_DESCRIPTOR_AS_XML PidTagSecurityDescriptorAsXml .NTSecurityDescriptorAsXML
0e6b001f	PR_ADMIN_SECURITY_DESCRIPTOR_AS_XML .AdminNTSecurityDescriptorAsXML
0e6c001f	PR_CREATOR_SID_AS_XML .CreatorSidAsXML
0e6d001f	PR_LAST_MODIFIER_SID_AS_XML .LastModifierSidAsXML
0e6e001f	PR_SENDER_SID_AS_XML .SenderSIDAsXML
0e6f001f	PR_SENT_REPRESENTING_SID_AS_XML .SentRepresentingSidAsXML
0e70001f	PR_ORIGINAL_SENDER_SID_AS_XML .OriginalSenderSIDAsXML
